iter	PRAUC	Logloss
84	0.5149110834	0.4418829685
85	0.5150493853	0.4418390381
86	0.5151959012	0.4417886665
87	0.5153882922	0.441719411
88	0.5157209906	0.4414801863
89	0.5160727089	0.4412800957
90	0.5163652104	0.4410761761
91	0.5165306374	0.4410222699
92	0.5167979663	0.4409433498
93	0.5168947946	0.4408914837
94	0.5170179921	0.4408432837
95	0.517279945	0.4407707896
96	0.517442737	0.4407136974
97	0.5175926513	0.4405907787
98	0.5178343629	0.4405202899
99	0.5179095966	0.4404882664
100	0.5180247139	0.440431354
101	0.5181631943	0.4403805229
102	0.5181959282	0.4403501136
103	0.5183570896	0.4402891802
104	0.518590194	0.4402179162
105	0.5187195076	0.4401798536
106	0.518815376	0.4401413233
107	0.5189176613	0.4401007669
108	0.5190546313	0.4400464341
109	0.5192257953	0.4399805367
110	0.5193632347	0.4399316764
111	0.5194455941	0.4398909785
112	0.5195651633	0.43985041
113	0.5196680895	0.4398044365
114	0.5198068678	0.4397530303
115	0.5199291681	0.4397079746
116	0.520182697	0.4395633033
117	0.5203757069	0.4394981384
118	0.5205575198	0.4394436417
119	0.5207387983	0.4393866578
120	0.520804093	0.4393560754
121	0.5209663114	0.4392904574
122	0.5210415451	0.4392295401
123	0.5211571125	0.4391880751
124	0.5212506242	0.4391564369
125	0.521401277	0.4391037155
126	0.5216202779	0.439031877
127	0.5217581813	0.438981806
128	0.5219137259	0.4389397777
129	0.5220771265	0.4388896563
130	0.522138992	0.4388681939
131	0.5223087075	0.4387855392
132	0.522580905	0.4386231093
133	0.5227242299	0.4385810959
134	0.5228348974	0.4385475289
135	0.5229733208	0.4385032456
136	0.5230695145	0.4384686535
137	0.523200266	0.4384247979
138	0.5233363872	0.4383742138
139	0.5234811433	0.4383259868
140	0.5237049859	0.4382602425
141	0.5238632791	0.4382084344
142	0.5240960518	0.4381426108
143	0.5241877139	0.4381052945
144	0.5243941669	0.4380293456
145	0.5244939062	0.4379944095
146	0.5247020302	0.4379319678
147	0.5248536402	0.4378721816
148	0.5249504169	0.4378380082
149	0.5251678668	0.4377634612
150	0.5253591115	0.4377017931
151	0.5255400503	0.4376419909
152	0.525628104	0.4375726504
153	0.5257357227	0.4375297818
154	0.5258298104	0.4374978712
155	0.5259993126	0.4374046929
156	0.5260754117	0.4373790843
157	0.5262524526	0.4373137314
158	0.5264202528	0.4372588544
159	0.5265295713	0.4371804635
160	0.5267215878	0.4371310497
161	0.5268532928	0.4370773996
162	0.5269749142	0.4370358749
163	0.5270745802	0.4370065431
164	0.5272145069	0.4369604194
165	0.5273274322	0.4369267078
166	0.5274026187	0.4369023055
167	0.5275527571	0.4367823057
168	0.5276902666	0.4367382036
169	0.5278343894	0.4366928193
170	0.5279746846	0.4366468526
171	0.5280703236	0.4365696022
172	0.5282842585	0.4364380757
173	0.5284941695	0.4363700141
174	0.5286865361	0.4363223005
175	0.5288263429	0.4362853974
176	0.5289253118	0.4362534323
177	0.5290959125	0.4362056188
178	0.5292290564	0.4361618244
179	0.5292902906	0.4361347881
180	0.5294186157	0.4360966853
181	0.5295524498	0.4360586777
182	0.5297484948	0.4360015474
183	0.529862847	0.4359300638
184	0.5299897208	0.4358897083
185	0.5300652432	0.435867618
186	0.5303320248	0.4358009763
187	0.5305441576	0.4356755015
188	0.5306471913	0.4356238625
189	0.5307196099	0.4355864128
190	0.5307895477	0.4355544677
191	0.530961147	0.4354990015
192	0.5310612668	0.4354589807
193	0.5311558398	0.4354149593
194	0.5313199203	0.4352961687
195	0.5314585262	0.4352212387
196	0.5316892172	0.4351114423
197	0.5317831344	0.4350584494
198	0.5319898694	0.4349938102
199	0.5321561234	0.4349118371
200	0.5322681248	0.4348744097
201	0.5323516895	0.4348415608
202	0.5325748568	0.4347777278
203	0.5327369183	0.4347119371
204	0.5328834056	0.4346529596
205	0.5330525277	0.4345647105
206	0.5331664393	0.4345232749
207	0.5333913407	0.4344648604
208	0.5335491818	0.4344033735
209	0.5337229936	0.4343462958
210	0.5339193563	0.4342887999
211	0.534058215	0.4342362215
212	0.5343126606	0.4341662679
213	0.5344368635	0.4341271231
214	0.5345313975	0.4340985001
215	0.5347446918	0.4340374763
216	0.5349349309	0.4339743659
217	0.5351011615	0.4339243249
218	0.5353754959	0.4338554939
219	0.535595876	0.4337948415
220	0.5358046133	0.4337380898
221	0.5359526854	0.433679042
222	0.5361275676	0.4336317253
223	0.5363083045	0.4335821668
224	0.5364653165	0.4334841075
225	0.5365986842	0.4334470165
226	0.5367962748	0.4333779231
227	0.5370202558	0.4333168401
228	0.5371692776	0.4332330958
229	0.5373817166	0.4331643123
230	0.5375858225	0.4331040823
231	0.5377805585	0.4330526686
232	0.5379484091	0.4329892671
233	0.5380675399	0.432945239
234	0.5382630053	0.4328863227
235	0.5383925637	0.4328466456
236	0.538628763	0.4327663258
237	0.5388109555	0.4326912212
238	0.5389663158	0.4326388031
239	0.539125261	0.4325904307
240	0.5394143763	0.4325184521
241	0.5396084973	0.4324553799
242	0.5397311049	0.4324193683
243	0.5398588966	0.432350287
244	0.5400210338	0.4322953033
245	0.5402498203	0.4322316818
246	0.5404711718	0.4321579306
247	0.5406898087	0.4320895648
248	0.5408357817	0.4320337655
249	0.5409568255	0.431998744
250	0.5411091205	0.4319441426
251	0.5412347366	0.4318523982
252	0.5414539725	0.4317897842
253	0.5415886794	0.4317460073
254	0.5417186169	0.4316552455
255	0.5419083314	0.4316008129
256	0.5420404527	0.4315145034
257	0.542213934	0.4314509493
258	0.5423366736	0.4313979929
259	0.5425824851	0.4313325514
260	0.5427780434	0.4312766761
261	0.5429038222	0.4312028755
262	0.5432125877	0.4311257516
263	0.5433778824	0.431061622
264	0.5434524129	0.4310363104
265	0.5436216481	0.4309799893
266	0.5438258626	0.4309276084
267	0.5438953968	0.4309037181
268	0.5440495866	0.4308574255
269	0.5442226842	0.4308071161
270	0.5443807334	0.4307503779
271	0.5445213252	0.4306857103
272	0.5446087448	0.4306523384
273	0.5447192336	0.4305798861
274	0.5448812449	0.4305229704
275	0.5450571957	0.4304697348
276	0.5452410287	0.4304151147
277	0.5453648436	0.4303494525
278	0.5455176518	0.430295577
279	0.5457314911	0.4302318051
280	0.545937749	0.4301733414
281	0.5461182351	0.430122319
282	0.5462772115	0.4300717184
283	0.5463742864	0.4300255149
284	0.5465337451	0.429975774
285	0.5466498156	0.4299311974
286	0.5468746915	0.4298636844
287	0.5470788106	0.4297960272
288	0.5472915895	0.4297259196
289	0.5475216653	0.4296550482
290	0.5477118492	0.4295990762
291	0.5479047387	0.4295443028
292	0.5481008153	0.4294853481
293	0.5483536718	0.4294157495
294	0.5485047154	0.4293666435
295	0.5486253872	0.4293179785
296	0.5487627325	0.4292703644
297	0.5487898483	0.4292474481
298	0.5489959364	0.4291946107
299	0.5492238472	0.4291288651
300	0.5494754179	0.4290609357
301	0.5497186408	0.4289888071
302	0.5498573707	0.4289519207
303	0.5499969492	0.4288923485
304	0.5501577755	0.4288465757
305	0.5502525874	0.4288117745
306	0.5504616111	0.4287501589
307	0.5505694533	0.428714577
308	0.5506778656	0.4286807797
309	0.5508186278	0.4286384621
310	0.5509940068	0.4285873592
311	0.5511618521	0.4285393673
312	0.5512934808	0.4284800271
313	0.55146389	0.4284346794
314	0.551582644	0.428386864
315	0.551718345	0.4283378945
316	0.5519109259	0.4282838795
317	0.5520880559	0.428223286
318	0.5522838251	0.4281519588
319	0.5525127641	0.4280866545
320	0.5526338798	0.4280405715
321	0.5527198999	0.4280042671
322	0.5528906526	0.4279595039
323	0.5530841669	0.4279014991
324	0.5531766003	0.4278627895
325	0.5532841151	0.4278252575
326	0.5534675304	0.4277664184
327	0.5535962726	0.427726063
328	0.5536815488	0.4276985685
