threshold,alerts,tp,fp,fn,alert_rate,precision,recall,gross_saving_usd,intervention_cost_usd,net_benefit_usd
0.24,9739,4377,5362,6635,0.1851837766918294,0.44943012629633433,0.39747548129313476,8497205.529765133,8765100.0,-267894.4702348672
0.25,8580,4070,4510,6942,0.1631457854005438,0.47435897435897434,0.369596803487105,7901216.930807423,7722000.0,179216.93080742285
0.26,7571,3806,3765,7206,0.1439599931547223,0.5027077004358738,0.3456229567744279,7388705.562322617,6813900.0,574805.5623226166
0.27,6660,3599,3061,7413,0.12663763761860394,0.5403903903903904,0.3268252815110788,6986850.0574879395,5994000.0,992850.0574879395
0.28,5951,3408,2543,7604,0.11315624346371052,0.5726768610317594,0.30948056665455864,6616055.847712947,5355900.0,1260155.847712947
0.29,5377,3229,2148,7783,0.10224182844973474,0.6005207364701507,0.2932255721031602,6268557.609232719,4839300.0,1429257.609232719
0.3,4911,3099,1812,7913,0.0933809967484931,0.6310323762981063,0.2814202687976753,6016184.586872777,4419900.0,1596284.586872777
0.31,4511,2981,1530,8031,0.08577513262725561,0.6608290844602084,0.27070468579731205,5787107.535807598,4059900.0,1727207.5358075984
0.32,4207,2871,1336,8141,0.07999467589511514,0.6824340385072498,0.26071558300036324,5573561.132272263,3786300.0,1787261.132272263
0.33,3935,2786,1149,8226,0.07482268829267365,0.708005082592122,0.25299673083908464,5408548.002267685,3541500.0,1867048.0022676848
0.34,3722,2721,1001,8291,0.0707725656481147,0.7310585706609349,0.24709407918634219,5282361.491087714,3349800.0,1932561.4910877142
0.35,3545,2669,876,8343,0.06740697077446711,0.7528913963328632,0.2423719578641482,5181412.282143737,3190500.0,1990912.2821437372
0.36,3395,2621,774,8391,0.06455477172900306,0.7720176730486009,0.23801307664366145,5088228.396964681,3055500.0,2032728.3969646813
0.37,3283,2579,704,8433,0.06242512977505657,0.7855619859884252,0.23419905557573556,5006692.497433008,2954700.0,2051992.4974330077
0.38,3162,2542,620,8470,0.06012435587838223,0.803921568627451,0.2308390846349437,4934863.252607486,2845800.0,2089063.2526074862
0.39,3069,2509,560,8503,0.05835599247019452,0.8175301401107853,0.22784235379585907,4870799.331546885,2762100.0,2108699.331546885
0.4,2980,2470,510,8542,0.05666368770321918,0.8288590604026845,0.22430076280421357,4795087.424838902,2682000.0,2113087.4248389024
0.41,2895,2431,464,8581,0.05504744157745622,0.8397236614853195,0.2207591718125681,4719375.51813092,2605500.0,2113875.51813092
0.42,2845,2411,434,8601,0.05409670856230153,0.8474516695957821,0.21894297130403195,4680548.899306313,2560500.0,2120048.899306313
0.43,2788,2393,395,8619,0.0530128729250252,0.8583213773314203,0.21730839084634943,4645604.942364167,2509200.0,2136404.9423641674
0.44,2740,2376,364,8636,0.052100169230476695,0.8671532846715329,0.21576462041409372,4612602.316363252,2466000.0,2146602.316363252
0.45,2698,2358,340,8654,0.05130155349774676,0.8739807264640475,0.2141300399564112,4577658.359421106,2428200.0,2149458.359421106
0.46,2654,2337,317,8675,0.05046490844441064,0.8805576488319518,0.21222302942244825,4536890.409655269,2388600.0,2148290.4096552692
0.47,2610,2312,298,8700,0.04962826339107452,0.885823754789272,0.20995277878677807,4488357.136124511,2349000.0,2139357.1361245112
0.48,2577,2300,277,8712,0.04900077960107243,0.8925106713232441,0.20886305848165637,4465061.164829748,2319300.0,2145761.1648297478
0.49,2542,2287,255,8725,0.04833526649046415,0.8996852871754524,0.20768252815110788,4439823.862593753,2287800.0,2152023.8625937533
0.5,2518,2276,242,8736,0.0478789146431899,0.9038919777601271,0.206683617871413,4418469.22224022,2266200.0,2152269.22224022
0.51,2493,2264,229,8748,0.04740354813561256,0.9081427998395507,0.20559389756629132,4395173.250945455,2243700.0,2151473.2509454554
0.52,2465,2251,214,8761,0.046871137647125936,0.913184584178499,0.20441336723574283,4369935.948709462,2218500.0,2151435.948709462
0.53,2451,2246,205,8766,0.046604932402882625,0.9163606691146471,0.2039593171086088,4360229.29400331,2205900.0,2154329.2940033097
0.54,2421,2232,189,8780,0.04603449259378981,0.9219330855018587,0.2026879767526335,4333050.660826085,2178900.0,2154150.660826085
0.55,2397,2219,178,8793,0.04557814074651556,0.9257405089695453,0.20150744642208498,4307813.358590091,2157300.0,2150513.3585900906
0.56,2379,2211,168,8801,0.04523587686105988,0.9293820933165196,0.20078096621867053,4292282.711060248,2141100.0,2151182.7110602483
0.57,2352,2196,156,8816,0.04472248103287635,0.9336734693877551,0.19941881583726845,4263162.746941794,2116800.0,2146362.7469417937
0.58,2332,2181,151,8831,0.044342187826814476,0.9352487135506004,0.19805666545586634,4234042.782823339,2098800.0,2135242.782823339
0.59,2302,2169,133,8843,0.043771748017721664,0.9422241529105126,0.19696694515074464,4210746.811528575,2071800.0,2138946.8115285747
0.6,2280,2154,126,8858,0.0433534254910536,0.9447368421052632,0.19560479476934253,4181626.84741012,2052000.0,2129626.84741012
0.61,2258,2141,117,8871,0.04293510296438554,0.9481842338352524,0.19442426443879404,4156389.5451741256,2032200.0,2124189.5451741256
0.62,2231,2120,111,8892,0.04242170713620201,0.9502465262214254,0.1925172539048311,4115621.5954082888,2007900.0,2107721.5954082888
0.63,2199,2102,97,8910,0.041813238006503016,0.9558890404729422,0.19088267344714857,4080677.638466143,1979100.0,2101577.638466143
0.64,2180,2085,95,8927,0.04145195946074423,0.9564220183486238,0.18933890301489284,4047675.0124652274,1962000.0,2085675.0124652274
0.65,2166,2076,90,8936,0.04118575421650092,0.9584487534626038,0.1885216127860516,4030203.0339941545,1949400.0,2080803.0339941545
0.66,2153,2066,87,8946,0.0409385636325607,0.9595912679981421,0.18761351253178352,4010789.724581851,1937700.0,2073089.7245818512
0.67,2133,2050,83,8962,0.04055827042649883,0.9610876699484294,0.18616055212495458,3979728.429522166,1919700.0,2060028.429522166
0.68,2120,2043,77,8969,0.04031107984255861,0.9636792452830188,0.18552488194696695,3966139.1129335538,1908000.0,2058139.1129335538
0.69,2091,2021,70,8991,0.039759654693768895,0.9665231946437112,0.18352706138757718,3923429.832226487,1881900.0,2041529.8322264869
0.7,2067,2006,61,9006,0.03930330284649465,0.9704886308659894,0.18216491100617507,3894309.868108032,1860300.0,2034009.8681080318
0.71,2053,1993,60,9019,0.03903709760225134,0.9707744763760351,0.18098438067562658,3869072.565872038,1847700.0,2021372.5658720378
0.72,2042,1982,60,9030,0.038827936338917304,0.970617042115573,0.1799854703959317,3847717.925518504,1837800.0,2009917.9255185039
0.73,2024,1971,53,9041,0.03848567245346162,0.9738142292490118,0.17898656011623684,3826363.2851649704,1821600.0,2004763.2851649704
0.74,2007,1959,48,9053,0.038162423228309025,0.976083707025411,0.17789683981111515,3803067.3138702065,1806300.0,1996767.3138702065
0.75,1996,1949,47,9063,0.037953261964975,0.9764529058116233,0.17698873955684707,3783654.004457903,1796400.0,1987254.004457903
0.76,1981,1936,45,9076,0.03766804206042859,0.9772841998990409,0.17580820922629858,3758416.702221909,1782900.0,1975516.702221909
0.77,1959,1916,43,9096,0.03724971953376053,0.9780500255232262,0.17399200871776244,3719590.083397303,1763100.0,1956490.0833973028
0.78,1943,1902,41,9110,0.03694548496891103,0.9788986103962944,0.17272066836178715,3692411.450220078,1748700.0,1943711.4502200782
0.79,1920,1883,37,9129,0.03650814778193988,0.9807291666666667,0.1709952778786778,3655526.162336702,1728000.0,1927526.162336702
0.8,1896,1861,35,9151,0.03605179593466563,0.9815400843881856,0.16899745731928806,3612816.8816296346,1706400.0,1906416.8816296346
