,valid_roc_auc,valid_pr_auc,valid_brier,valid_logloss,valid_f1@best,valid_lift@10%,test_roc_auc,test_pr_auc,fit_seconds
catboost,0.7124571793157982,0.5457649222676054,0.14293594266073228,0.45262888608093,0.46266225753911455,3.004251857226781,0.7009070789991179,0.5069617098596093,62.0
lightgbm,0.7095880382227076,0.5425886705852004,0.14305696125028303,0.4532086011525289,0.45952142983126576,2.9855996312920126,0.6974699984896081,0.504157972555521,2.7
xgboost,0.7094605433299094,0.5413940623667465,0.14325325191020966,0.45351630449295044,0.4578607395351203,2.9694343688152127,0.6969506718998378,0.5021065189047783,7.4
random_forest,0.7047987870597008,0.5290836478683872,0.14654269262015351,0.46320578941076707,0.45223943960942475,2.8836341295152756,0.6940262173581977,0.4933010147559133,12.7
logistic_regression,0.6997867924380753,0.5177291856701536,0.14872392333107665,0.4690596002857936,0.45058553135602497,2.861251458393553,0.6838737115531834,0.47303957415607234,3.3
