,0
upstream_delay_min,0.33666092717155266
carrier_code,0.13158286829969407
time_block,0.09883498041775922
dep_time_decimal,0.08174909282638061
hour_sin,0.07529004635007135
scheduled_turnaround_min,0.07439889803924345
scheduled_block_min,0.06811497240592963
route_wx_severity,0.06805115086624856
day_of_week,0.06488998288398021
slack_vs_upstream_min,0.06247094368622263
prev_leg_known,0.054637357438307506
aircraft_age_years,0.05427709977386718
aircraft_cum_delay_today,0.04303119170000566
holiday_proximity,0.03789493364803976
destination,0.036299433612758475
hour_cos,0.03097437270133103
origin,0.029718802528691357
aircraft_model,0.026413688838890347
carrier_volume_7d,0.01458563971231372
dep_wx_visibility_km,0.011680865150905596
dep_wx_temperature_c,0.01065159594469639
dep_temp_anomaly,0.010586819988983706
dep_wx_wind_speed_kt,0.0054586424946522025
schedule_padding_min,0.005281578751652519
doy_sin,0.004788748763034027
carrier_delay_rate_7d,0.004215396989631273
origin_congestion_ratio,0.0038863082966857044
seats,0.003598916872212462
lat_delta,0.0032166837613414856
dep_minute,0.002786508947871031
padding_ratio,0.0026888386213367835
dep_dewpoint_spread,0.0026235913162897095
carrier_origin_volume_14d,0.002423327045293049
origin_delay_rate_7d,0.0024206903821722297
carrier_share_at_origin,0.0022127645174298883
bearing_cos,0.0020178332336958068
origin_mean_delay_min_7d,0.0019038149660157563
doy_cos,0.0018107789081369251
dep_wx_cloud_ceiling_ft,0.001786009850511823
route_delay_rate_30d,0.0017128796003872922
route_popularity_30d,0.0014786661055269479
carrier_origin_delay_rate_14d,0.0014396192078679863
dep_gust_factor,0.000721176871502022
elevation_gain_ft,0.0005650792466810823
day_of_month,0.0004642951851758039
